I_D,FLAG_TSUNAMI,YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,FOCAL_DEPTH,EQ_PRIMARY,EQ_MAG_MW,EQ_MAG_MS,EQ_MAG_MB,EQ_MAG_ML,EQ_MAG_MFA,EQ_MAG_UNK,INTENSITY,COUNTRY,STATE,LOCATION_NAME,LATITUDE,LONGITUDE,REGION_CODE,DEATHS,DEATHS_DESCRIPTION,MISSING,MISSING_DESCRIPTION,INJURIES,INJURIES_DESCRIPTION,DAMAGE_MILLIONS_DOLLARS,DAMAGE_DESCRIPTION,HOUSES_DESTROYED,HOUSES_DESTROYED_DESCRIPTION,HOUSES_DAMAGED,HOUSES_DAMAGED_DESCRIPTION,TOTAL_DEATHS,TOTAL_DEATHS_DESCRIPTION,TOTAL_MISSING,TOTAL_MISSING_DESCRIPTION,TOTAL_INJURIES,TOTAL_INJURIES_DESCRIPTION,TOTAL_DAMAGE_MILLIONS_DOLLARS,TOTAL_DAMAGE_DESCRIPTION,TOTAL_HOUSES_DESTROYED,TOTAL_HOUSES_DESTROYED_DESCRIPTION,TOTAL_HOUSES_DAMAGED,TOTAL_HOUSES_DAMAGED_DESCRIPTION
5256,No,1990,7,27,12,37,59.5,126,6.4,,,6.4,,,,5,VANUATU,,VANUATU ISLANDS:  ESPIRITU SANTO,-15.355,167.464,170,,,,,2,1,,2,,,,3,,,,,2,1,,2,,,,3
5257,No,1990,8,3,9,15,6.1,33,6.1,,6.1,6,,,,7,KAZAKHSTAN,,"KAZAKHSTAN:  AKKAL, UST",47.963,84.961,40,,,,,8,1,,2,500,3,,,,,,,8,1,,2,500,3,,
5258,No,1990,8,11,2,59,54.9,5,4.4,,4.4,5,,,,,ECUADOR,,"ECUADOR:  PAMASQUI,  QUITO",-0.059,-78.449,160,4,1,,,10,1,,3,,,1300,4,4,1,,,10,1,,3,,,1300,4
6602,Yes,1990,9,23,21,13,7.4,10,6.5,,6.5,6,,,,,JAPAN,,"JAPAN:  W. OF BONIN ISLANDS, IZU IS.",33.267,138.643,30,,,,,,,,,,,,,,,,,,,,,,,,
5259,No,1990,9,26,23,8,23.9,5,4.2,,4.2,5.4,,,,,SOUTH AFRICA,,SOUTH AFRICA:  WELKOM,-28.014,26.727,10,2,1,,,5,1,,1,,,,,2,1,,,5,1,,1,,,,
5260,No,1990,9,27,21,12,32.5,33,4.5,,4.5,5,,,,6,KAZAKHSTAN,,KAZAKHSTAN:  ZAYSAN,47.903,84.961,40,,,,,,,,1,,,,,,,,,,,,1,,,,
5261,No,1990,10,18,9,30,44.4,5,4,,,4,,,,,SOUTH AFRICA,,SOUTH AFRICA:  CHARLETONVILLE,-26.39,27.349,10,10,1,,,6,1,,,,,,,10,1,,,6,1,,,,,,
5262,No,1990,10,20,8,7,27.5,12,5.8,,5.8,5.6,,,,4,CHINA,,CHINA:  GANSU PROVINCE:  TIANZHU,37.093,103.781,30,7,1,,,92,2,,3,87000,4,,,4,1,,,92,2,,3,87000,4,,
5263,No,1990,10,25,4,53,59.9,114,6,,,6,,,,4,AFGHANISTAN,,"AFGHANISTAN:  HINDU KUSH:  CHITRAL, MARDAN, MALAKAND",35.121,70.486,40,11,1,,,250,3,,1,,,,,11,1,,,250,3,,1,,,,
5264,No,1990,11,6,18,45,52.2,11,6.7,,6.7,6.2,,,,,IRAN,,"IRAN:  S, DARAB",28.251,55.462,140,22,1,,,100,2,232.3,4,,,,,22,1,,,100,2,232.3,4,,,,
